id,enactedDate,title,isActive,billId
b7a4ff3e-50c7-4ca7-8b0b-c5386944b26e,2026-02-19T22:26:11.450Z,Protecting Individual Rights from Government Overreach Act,true,f8ca3cf9-f98c-42c2-8cdc-a0b718a29d74
24060541-71d5-428d-9b5c-ec935a3f7fe4,2026-02-19T22:26:11.446Z,Worker Transition and Skills Partnership Act of 2026,true,37f47e1b-1e0f-4471-86d2-4adf7a5a515e
4090be4c-d1dc-4ee2-aaca-dfc84301bbc2,2026-02-19T22:26:11.440Z,Automation Accountability and Workforce Transition Act,true,541db8ca-093b-4999-af62-4b0ea3cfe2cd
dbb6641b-1f68-4ec4-9859-a44481a82eb7,2026-02-19T22:26:11.433Z,Automation Transparency and Fiscal Accountability Act,true,8292d159-f8da-4d0c-be3e-146a4dedbdd3
3f30143e-e0a8-4620-ba18-4f62333d746b,2026-02-19T22:22:49.623Z,Digital Privacy Protection Act,true,890a80ba-12ff-458a-a40b-76eff547329f
26d4d11f-a155-4128-987a-fad589c5300e,2026-02-19T22:22:49.619Z,Worker Mobility and Skills Access Act,true,0792bd21-c8ba-4d39-bbd8-7674b15182bb
f0f1bab5-6288-4051-b2fe-fed10922c245,2026-02-19T22:18:36.881Z,Protecting American Jobs Act of 2025,true,ca795625-c616-4625-8799-7c173fa6e99c
95d5964a-a6fc-4140-bb6a-a4adace44074,2026-02-19T22:18:36.874Z,Digital Autonomy Protection Act,true,57cf9b82-73ba-4d09-a969-8d2c413b481c
ea1acbfd-4cb9-4989-a20f-4bb1f36e994d,2026-02-19T22:18:36.863Z,Future-Proof Workforce Development Act,true,a1044bb1-117e-4ce1-a7e6-988930b0fa2a
da222a9a-21fe-49be-bb0b-eb040881e0f9,2026-02-19T22:17:15.139Z,Technological Disruption Mitigation Act,true,35903969-1a49-48ff-b373-f4d47b466e50
e2772802-94b7-40fc-a580-e0e012b5a7b8,2026-02-19T22:17:15.132Z,Workforce Adaptability and Reskilling Act of 2025,true,596e8d5d-da50-4af4-858a-aa3a8ce2958b
ac354c1c-3333-4881-a428-be967b8d0a55,2026-02-19T22:16:15.477Z,Algorithmic Transparency and Audit Act,true,2d2fb8e2-00ff-44d2-ba92-7f58f5826a8f
d8ef5ca7-80f3-41ac-b3f2-8f2932d4adbd,2026-02-19T22:15:11.440Z,Fiscal Responsibility and Balanced Budget Act,true,dd967bb9-db48-4e8d-bbb6-333d1a73fadc
